# Target: WASP-39b
               # Instrument: NIRISS/SOSS
               # Pipeline: nirHiss
               # 1D Extraction : Box
               # Author: feinstein
               # Date: 2022-08-13T09:32:44
wave,wave_error,dppm,dppm_err,order
0.59605,0.0020499999999999963,21025.096240609455,145.00033186379076,2.0
0.60425,0.0020499999999999963,21366.551000156156,146.1730173464178,2.0
0.61245,0.0020499999999999963,21187.19150271124,145.55820657974334,2.0
0.62075,0.0020499999999999963,20982.89678173094,144.85474373223315,2.0
0.6291,0.0020999999999999908,20721.945877339283,143.95119269161782,2.0
0.6375,0.0020999999999999908,21003.069502846338,144.92435786590997,2.0
0.6459,0.0020999999999999908,21059.706966329817,145.1196298449311,2.0
0.6544,0.0020999999999999908,20920.92175336025,144.64066424543358,2.0
0.66295,0.0021499999999999853,20936.469866194573,144.69440164081877,2.0
0.67155,0.0021499999999999853,21043.328127547436,145.06318667238577,2.0
0.68015,0.0021499999999999853,20781.974920630873,144.1595467550827,2.0
0.68885,0.0021499999999999853,20920.121944758062,144.63789940661493,2.0
0.6976,0.0021999999999999797,20953.79726313508,144.7542650947981,2.0
0.7064,0.0021999999999999797,20914.09571589574,144.61706578373017,2.0
0.7152000000000001,0.0022000000000000908,20946.399629490537,144.72871045335316,2.0
0.724,0.0021999999999999797,20748.963978859603,144.04500678211517,2.0
0.73295,0.0022499999999999742,20885.255484312827,144.5173189770445,2.0
0.74185,0.0022499999999999742,20897.100934044436,144.558295971018,2.0
0.75085,0.0022499999999999742,20925.939190827878,144.6580076968706,2.0
0.75985,0.0022499999999999742,20889.440205426643,144.53179652044267,2.0
0.7688999999999999,0.0022999999999999687,21369.36517585194,146.18264320996505,2.0
0.7779499999999999,0.0022499999999999742,20876.681557654974,144.48765192103778,2.0
0.7871,0.0022999999999999687,20867.677988899934,144.45649168140534,2.0
0.7962,0.0022999999999999687,20990.18490179963,144.87989819778184,2.0
0.8054,0.0022999999999999687,20936.65411434697,144.69503831972597,2.0
0.8146,0.0022999999999999687,20978.952896186096,144.84112984986723,2.0
0.82385,0.0023499999999999632,20923.69641725744,144.65025550360235,2.0
0.8331,0.0022999999999999687,21120.168752024987,145.32779758884735,2.0
0.8424,0.0023000000000000798,21064.255576792904,145.13530093258808,2.0
0.85175,0.0023499999999999632,20970.56562771568,144.81217361712268,2.0
0.86105,0.0023499999999999632,19964.90461013587,141.2972208153291,2.0
0.87045,0.0023499999999999632,20755.540932810894,144.06783448365874,2.0
0.8785499999999999,0.004449999999999954,21117.72068675542,145.3193747810505,1.0
0.87985,0.0023500000000000743,20752.222187265994,144.05631602698298,2.0
0.8964000000000001,0.0045000000000000595,21226.515885415836,145.69322525572642,1.0
0.9144000000000001,0.0045000000000000595,21223.994616360404,145.6845723347548,1.0
0.9323999999999999,0.0044999999999999485,21357.786279435364,146.14303363292882,1.0
0.95055,0.004550000000000054,21277.183302517424,145.86700553078282,1.0
0.96875,0.004550000000000054,21197.795999819587,145.59462902119566,1.0
0.9870000000000001,0.0046000000000000485,21055.26243448031,145.10431569901812,1.0
1.0053,0.0046000000000001595,21045.335993045857,145.0701071656248,1.0
1.02375,0.004650000000000043,20972.176434899713,144.8177352222431,1.0
1.0422500000000001,0.004650000000000043,20938.4106526135,144.70110798682055,1.0
1.0608499999999998,0.004649999999999821,21075.604606677854,145.17439377065728,1.0
1.07945,0.004650000000000043,21085.83283798741,145.20961689222725,1.0
1.0981,0.0047000000000001485,21146.865182493824,145.41961759849949,1.0
1.11685,0.004649999999999821,21280.738036474926,145.87918986776327,1.0
1.13565,0.004750000000000032,21402.753487373702,146.29679930666188,1.0
1.1545,0.0047000000000001485,21275.251787760753,145.8603845729222,1.0
1.1734,0.0046999999999999265,21266.98062192808,145.8320287931567,1.0
1.19235,0.004750000000000032,21128.36071090657,145.35597927469846,1.0
1.21135,0.004750000000000032,21160.249271869645,145.46562917703153,1.0
1.2304,0.0047999999999999154,21165.84722298266,145.4848693953521,1.0
1.2494999999999998,0.0047999999999999154,21003.277200006436,144.9250744350557,1.0
1.2686000000000002,0.0048000000000001375,21024.609761939653,144.99865434527194,1.0
1.2877999999999998,0.0047999999999999154,21107.493239328338,145.2841809672627,1.0
1.307,0.0047999999999999154,21076.774581902802,145.17842326565886,1.0
1.32625,0.004850000000000021,21377.89302147932,146.21180876208092,1.0
1.3455,0.0047999999999999154,21498.47896043665,146.62359619255233,1.0
1.3648500000000001,0.004850000000000021,21593.052970753524,146.9457483929138,1.0
1.38415,0.004850000000000021,21597.773501119675,146.96180966876963,1.0
1.40355,0.004850000000000021,21604.264718984494,146.98389271952385,1.0
1.42295,0.004850000000000021,21698.878676069045,147.3053925559721,1.0
1.44235,0.004850000000000021,21605.352472404018,146.9875929199605,1.0
1.4617499999999999,0.004849999999999799,21479.252215753273,146.55801655233083,1.0
1.48125,0.004850000000000021,21501.87369738392,146.6351721020026,1.0
