# WavelengthLower, WavelengthUpper, Wavelength, TransitDepth, TransitError
8.844855121440717838e-01 8.950788710591723873e-01 8.897821916016220856e-01 1.402776879612022094e+04 4.821619948537785660e+01
8.950788710591723873e-01 9.056722299742727689e-01 9.003755505167225781e-01 1.416465741856002933e+04 4.894243501775311955e+01
9.052647930929227371e-01 9.150432782453232772e-01 9.101540356691230071e-01 1.424757980353800485e+04 5.151247422581715796e+01
9.154507151266733089e-01 9.260440740417739125e-01 9.207473945842236107e-01 1.431397654428089663e+04 5.003385627048832873e+01
9.260440740417739125e-01 9.366374329568742940e-01 9.313407534993241033e-01 1.419809450626516991e+04 5.061156125547445583e+01
9.362299960755242623e-01 9.460084812279248023e-01 9.411192386517245323e-01 1.439586865272645264e+04 5.307213070528867149e+01
9.464159181092748341e-01 9.570092770243752156e-01 9.517125975668250248e-01 1.430886086373532089e+04 5.156806316812202340e+01
9.570092770243752156e-01 9.676026359394758192e-01 9.623059564819255174e-01 1.426231850274673525e+04 5.235361460091078811e+01
9.680100728208258509e-01 9.794183054986262960e-01 9.737141891597260734e-01 1.419443428200339804e+04 5.088863433280981496e+01
9.794183054986262960e-01 9.908265381764269630e-01 9.851224218375266295e-01 1.432233267874845660e+04 5.169857914173948643e+01
9.908265381764269630e-01 1.002234770854227408e+00 9.965306545153271855e-01 1.414899868662718836e+04 5.234770602374729265e+01
1.003864518379627535e+00 1.018532246108228234e+00 1.011198382243927885e+00 1.423575754433200200e+04 4.684649215576745007e+01
1.018735964548903361e+00 1.033811129158854314e+00 1.026273546853878837e+00 1.424599592782293257e+04 4.703171093142086789e+01
1.028514449701303901e+00 1.032996255396154028e+00 1.030755352548728965e+00 1.435516218134322662e+04 8.650535568151103405e+01
1.036866905768979219e+00 1.049090012209479728e+00 1.042978458989229473e+00 1.426217223225720045e+04 5.319167059762215644e+01
1.047867701565429632e+00 1.057646186717829950e+00 1.052756944141629791e+00 1.429622577650773019e+04 6.020234386406655602e+01
1.060498244887280173e+00 1.075980846378580935e+00 1.068239545632930554e+00 1.420821101079521395e+04 4.852158158776782670e+01
1.074351098853180808e+00 1.086574205293681317e+00 1.080462652073431062e+00 1.421127442942862763e+04 5.524664217928948062e+01
1.084944457768281412e+00 1.093908069157982110e+00 1.089426263463131761e+00 1.426663910797604876e+04 6.522196998773002008e+01
1.096760127327432111e+00 1.111427855056032810e+00 1.104093991191732460e+00 1.438064865357986491e+04 5.198506044762819300e+01
1.110205544411982714e+00 1.122428650852483223e+00 1.116317097632232969e+00 1.438438663567449476e+04 5.761819705420450788e+01
1.121206340208433128e+00 1.130984825360833446e+00 1.126095582784633287e+00 1.435466949213513544e+04 6.495849899996822785e+01
1.132207136004883763e+00 1.144430242445384716e+00 1.138318689225134239e+00 1.440121920992349078e+04 5.900739051565499693e+01
1.144837679326734525e+00 1.157875659529935097e+00 1.151356669428334811e+00 1.443085153388903746e+04 5.792206615041785511e+01
1.157468222648585066e+00 1.169691329089085574e+00 1.163579775868835320e+00 1.433630226781658166e+04 6.063295841958824894e+01
1.170506202851785638e+00 1.184359056817686273e+00 1.177432629834735955e+00 1.437176171814070221e+04 5.776505123919584861e+01
1.183951619936336241e+00 1.196989600139536813e+00 1.190470610037936527e+00 1.424266632679785835e+04 6.040070771776098013e+01
1.196989600139536813e+00 1.210027580342737386e+00 1.203508590241137099e+00 1.418159709915861094e+04 6.124482497979542472e+01
1.211657327868137513e+00 1.227954803122138339e+00 1.219806065495137926e+00 1.415215738958702968e+04 5.579754911317619559e+01
1.226325055596738212e+00 1.239363035799938784e+00 1.232844045698338498e+00 1.416360582894592335e+04 6.317891511089570145e+01
1.238140725155888910e+00 1.248734084070989736e+00 1.243437404613439323e+00 1.430938947143640326e+04 7.097200174726094701e+01
1.250363831596389641e+00 1.264216685562290277e+00 1.257290258579339959e+00 1.428057894528040015e+04 6.286691075976346355e+01
1.264624122443640308e+00 1.279291850172241007e+00 1.271957986307940658e+00 1.419240380526702575e+04 6.201894255680599599e+01
1.278884413290890976e+00 1.292737267256791611e+00 1.285810840273841293e+00 1.414824591290960052e+04 6.476584173937703781e+01
1.293144704138141643e+00 1.307812431866742342e+00 1.300478568002441992e+00 1.418093704275576602e+04 6.388377803424663881e+01
1.307812431866742342e+00 1.322480159595343041e+00 1.315146295731042692e+00 1.424072802643506839e+04 6.485818818084848658e+01
1.322072722713993009e+00 1.335925576679893645e+00 1.328999149696943327e+00 1.429229529804266349e+04 6.771241316277560429e+01
1.336333013561243677e+00 1.351000741289844376e+00 1.343666877425544026e+00 1.404612985370955721e+04 6.678141051608362488e+01
1.351000741289844376e+00 1.365668469018445075e+00 1.358334605154144725e+00 1.435117912339745271e+04 6.795668901987366439e+01
1.366075905899795107e+00 1.381558507391095869e+00 1.373817206645445488e+00 1.447973065249851425e+04 6.700000000000000000e+01
1.381558507391095869e+00 1.397041108882396632e+00 1.389299808136746250e+00 1.443531321657275294e+04 6.821596171495305327e+01
1.396633672001046600e+00 1.411301399729647299e+00 1.403967535865346949e+00 1.450734061384508095e+04 7.097007150712890677e+01
1.412297356550725080e+00 1.428956997921481342e+00 1.420627177236103211e+00 1.445613103657399188e+04 6.764793570659398370e+01
1.429952954742559124e+00 1.448604509755470948e+00 1.439278732249015036e+00 1.447011347599988221e+04 6.521077637534425264e+01
1.446069346938182232e+00 1.459650576316516624e+00 1.452859961627349428e+00 1.448488904575804554e+04 7.751389562461491778e+01
1.459378951728949714e+00 1.472416931932150286e+00 1.465897941830550000e+00 1.439225862780428361e+04 8.007617902307184465e+01
1.474046679457550413e+00 1.490344154711551239e+00 1.482195417084550826e+00 1.431384812484962640e+04 7.285111604683078212e+01
1.490344154711551239e+00 1.506641629965552065e+00 1.498492892338551652e+00 1.422161116585765376e+04 7.383960454541767149e+01
1.506641629965551843e+00 1.522939105219552225e+00 1.514790367592552034e+00 1.432607858808989658e+04 7.517945171263953341e+01
1.523346542100902479e+00 1.540458891117603368e+00 1.531902716609252924e+00 1.437977684330130069e+04 7.455434196383633605e+01
1.540639974175981086e+00 1.558114489309437412e+00 1.549377231742709249e+00 1.414593979660016703e+04 7.498668360989981352e+01
