wave,wave_error,dppm,dppm_err,order
1.86525, 0.00984, 14516.28, 81.19, 1
1.88541, 0.01008, 14620.59, 108.43, 1
1.90606, 0.01033, 14510.08, 134.24, 1
1.92672, 0.01033, 14656.24, 115.10, 1
1.94737, 0.01033, 14667.07, 149.69, 1
1.96852, 0.01058, 14817.74, 116.17, 1
1.99016, 0.01082, 14659.62, 136.95, 1
2.01180, 0.01082, 14896.31, 164.88, 1
2.03344, 0.01082, 14434.92, 135.86, 1
2.05508, 0.01082, 14392.94, 138.04, 1
2.07721, 0.01107, 14117.86, 148.08, 1
2.09983, 0.01131, 14300.41, 96.32, 1
2.12246, 0.01131, 14601.11, 110.17, 1
2.14509, 0.01132, 14869.54, 136.53, 1
2.16821, 0.01156, 14676.70, 147.58, 1
2.19182, 0.01180, 14271.27, 173.31, 1
2.21503, 0.01161, 14440.85, 182.81, 1
2.23904, 0.01201, 14302.26, 133.57, 1
2.26283, 0.01189, 14785.86, 151.78, 1
2.28680, 0.01198, 15076.79, 188.19, 1
2.31142, 0.01231, 14741.77, 168.76, 1
2.33605, 0.01232, 14574.20, 141.90, 1
2.36069, 0.01232, 14745.21, 177.66, 1
2.38583, 0.01257, 14611.43, 227.22, 1
2.41123, 0.01270, 14593.32, 190.47, 1
2.43714, 0.01295, 14820.17, 231.22, 1
2.46282, 0.01284, 14860.92, 206.68, 1
2.48902, 0.01310, 15049.06, 214.70, 1
2.51573, 0.01336, 15103.57, 252.49, 1
2.54248, 0.01337, 15119.17, 223.95, 1
2.56925, 0.01338, 15014.46, 281.24, 1
2.59655, 0.01365, 15223.72, 207.68, 1
2.62438, 0.01391, 14956.70, 249.93, 1
2.65214, 0.01388, 14964.19, 228.76, 1
2.68023, 0.01404, 14729.44, 232.19, 1
2.70866, 0.01422, 14970.18, 315.45, 1
2.73775, 0.01455, 15140.77, 291.84, 1
2.76684, 0.01455, 14740.28, 295.57, 1
2.79603, 0.01459, 15108.45, 324.27, 1
