wave,wave_error,dppm,dppm_err,order
0.65448, 0.00020, 14607.70, 628.10, 2
0.65498, 0.00025, 14637.80, 616.50, 2
0.65538, 0.00020, 14690.40, 616.10, 2
0.65578, 0.00020, 14365.20, 559.20, 2
0.65618, 0.00020, 14396.00, 953.80, 2
0.65668, 0.00025, 14902.60, 634.40, 2
0.65708, 0.00020, 13330.50, 561.70, 2
0.65748, 0.00020, 15407.90, 718.00, 2
0.65788, 0.00020, 15041.40, 615.60, 2
0.65838, 0.00025, 13912.30, 504.90, 2
0.65878, 0.00020, 13667.30, 570.50, 2
0.65918, 0.00020, 14649.10, 586.30, 2
0.65958, 0.00020, 15110.40, 663.10, 2
0.66008, 0.00025, 14464.80, 580.80, 2
0.66048, 0.00020, 14028.60, 817.50, 2
0.66088, 0.00020, 14768.40, 562.60, 2
0.66138, 0.00025, 13692.90, 503.40, 2
0.66178, 0.00020, 14189.60, 592.90, 2
0.66218, 0.00020, 14326.10, 546.20, 2
0.66258, 0.00020, 14385.70, 577.90, 2
0.66308, 0.00025, 13995.00, 554.30, 2
0.66348, 0.00020, 14263.90, 588.90, 2
0.66388, 0.00020, 14355.40, 601.70, 2
0.66438, 0.00025, 14003.10, 574.40, 2
0.66478, 0.00020, 13378.50, 575.30, 2
0.66518, 0.00020, 14750.20, 538.60, 2
0.66558, 0.00020, 14954.00, 513.00, 2
0.66608, 0.00025, 14460.60, 702.20, 2
0.66648, 0.00020, 13535.30, 553.60, 2
0.66688, 0.00020, 14636.40, 486.50, 2
0.66738, 0.00025, 14288.60, 604.00, 2
0.66778, 0.00020, 14852.00, 481.20, 2
0.66818, 0.00020, 14035.60, 602.90, 2
0.66868, 0.00025, 15550.40, 521.70, 2
0.66908, 0.00020, 14351.60, 596.00, 2
0.66948, 0.00020, 13778.30, 499.90, 2
0.66988, 0.00020, 14203.60, 611.00, 2
0.67039, 0.00026, 13968.30, 679.10, 2
0.67079, 0.00020, 14866.70, 591.40, 2
0.67119, 0.00020, 15334.30, 586.30, 2
0.67169, 0.00025, 13901.40, 530.50, 2
0.67209, 0.00020, 14806.90, 580.70, 2
0.67249, 0.00020, 14065.00, 538.90, 2
0.67299, 0.00025, 13351.10, 415.40, 2
0.67339, 0.00020, 14389.20, 467.10, 2
0.67379, 0.00020, 14545.90, 518.90, 2
0.67429, 0.00025, 14997.70, 508.10, 2
0.67469, 0.00020, 14115.70, 471.50, 2
0.67509, 0.00020, 14260.60, 584.60, 2
0.67549, 0.00020, 15455.70, 532.70, 2
0.67599, 0.00025, 15071.50, 557.80, 2
0.67639, 0.00020, 14064.90, 544.50, 2
0.67679, 0.00020, 14059.40, 507.10, 2
0.67729, 0.00025, 15057.10, 532.60, 2
0.67769, 0.00020, 14432.80, 492.00, 2
0.67809, 0.00020, 14121.70, 483.70, 2
0.67859, 0.00025, 14223.40, 542.60, 2
0.67899, 0.00020, 15083.90, 591.00, 2
0.67939, 0.00020, 14476.70, 659.00, 2
0.67989, 0.00025, 15064.50, 528.10, 2
0.68029, 0.00020, 14290.60, 497.40, 2
0.68069, 0.00020, 15105.80, 543.10, 2
0.68119, 0.00025, 14430.10, 458.50, 2
