# Target: WASP-39b
               # Instrument: NIRISS/SOSS
               # Pipeline: nirHiss
               # 1D Extraction : Box
               # Author: feinstein
               # Date: 2022-08-11T06:37:10
wave,wave_err,dppm,dppm_err,order
0.7653,0.00021171497435523712,21429.890658215383,584.135,2
0.7657,0.00021181780102863534,21494.318162247888,526.6918,2
0.7662,0.00021181780102869086,21600.733628311908,587.0495999999999,2
0.7666,0.00021195421418601645,21614.67533699037,546.5975999999999,2
0.7671,0.00021196507624804406,21579.18839905923,542.2699,2
0.7675,0.00021204987312972712,21570.41495156878,514.6664999999999,2
0.768,0.00021211453300040706,21507.89639566985,557.8169999999999,2
0.7684,0.00021214474460834465,21381.626275440794,593.0211,2
0.7689,0.00021225829492715897,21410.850140337276,503.9139,2
0.7693,0.00021225829492715897,21357.920370868855,525.2048,2
0.7698,0.00021238370891218938,21350.247416089333,473.4092,2
0.7702,0.00021240505867442527,21276.90635134156,501.13730000000004,2
0.7707,0.0002124787674421813,21190.627374690066,494.51110000000006,2
0.7712,0.00021255231810396458,21118.833155791363,472.48629999999997,2
0.7716,0.00021257327307100393,21087.30383931819,484.2872,2
0.7721,0.00021269373868088026,21091.494100933876,835.8245000000001,2
0.7725,0.00021269373868082475,21059.660311865857,569.2617,2
0.773,0.00021281146441592957,21085.778415715464,718.204,2
0.7734,0.00021284137995014607,21014.25130612559,687.6857,2
0.7739,0.0002129057967675818,20969.577957437185,503.3328000000001,2
0.7743,0.00021298510023909367,20920.473472271937,618.027,2
0.7748,0.00021299920835060604,20907.69869793281,522.7823999999999,2
0.7752,0.00021312530149109055,20928.50318879678,641.4757,2
0.7757,0.00021312530149109055,20950.445584722653,876.5818999999999,2
0.7762,0.0002132365245646195,20898.979519697645,657.5273,2
0.7766,0.0002132726968951948,20824.269632203257,494.6087,2
0.7771,0.00021333067531420502,20813.94439200531,518.3726,2
0.7775,0.00021341404786701101,20842.31178036702,429.0892,2
0.778,0.00021342339844315772,20871.025503226858,466.72990000000004,2
0.7784,0.0002135529661689839,20845.782027812398,483.02970000000005,2
0.7789,0.0002135529661689839,20883.458543449968,491.28180000000003,2
0.7793,0.00021365927467648094,20840.972060674285,473.8364,2
0.7798,0.0002136994025964678,20811.64798819276,525.4381999999999,2
0.7802,0.00021375342013402188,20809.53145252439,681.8326999999999,2
0.7807,0.00021383925917145552,20823.58770456661,791.4798000000001,2
0.7812,0.00021384584130640372,20878.068309291928,612.8282,2
0.7816,0.00021397630031805281,20921.869610153906,454.3076,2
0.7821,0.00021397630031805281,20924.807142407386,561.1644,2
0.7825,0.00021407982548965476,20941.81511989036,581.7040000000001,2
0.783,0.00021412183922958627,20920.554585966027,564.0591999999999,2
0.7834,0.0002141736991095322,20951.118614676157,504.1054999999999,2
0.7839,0.00021425968970267828,21000.634825091376,532.0886,2
0.7843,0.0002142655001053373,20973.28157611698,505.97649999999993,2
0.7848,0.00021439612540552488,20928.21122313863,500.6712,2
0.7853,0.00021439612540552488,21000.02232777018,538.7506000000001,2
0.7857,0.00021449812295787352,20889.92984720689,504.8219,2
0.7862,0.00021453969184231925,20859.729368380737,507.0417,2
0.7866,0.00021459169329463013,20831.921188121763,532.4862,2
0.7871,0.00021467657943330387,20828.885029997076,534.6763,2
0.7875,0.00021468343597441653,20846.713062613155,450.44239999999996,2
0.788,0.0002148115524530092,20817.116124147713,530.5036,2
0.7885,0.0002148115524530092,20738.72520313323,531.6785,2
0.7889,0.00021491397050754646,20810.24468465956,515.4703,2
0.7894,0.00021495317468755992,20800.922593337255,499.3834,2
0.7898,0.00021500705928079178,20772.77174045565,467.8249,2
